2017-04-19 04:53:48.423 : Commitement of Boy19andGirl1
2017-04-19 04:53:48.428 Exception: Girl 1 doesn't get a boyfriend
2017-04-19 04:53:48.428 Exception: Girl 2 doesn't get a boyfriend
2017-04-19 04:53:48.428 : Commitement of Boy1andGirl4
2017-04-19 04:53:48.429 Exception: Girl 4 doesn't get a boyfriend
2017-04-19 04:53:48.429 : Commitement of Boy9andGirl6
2017-04-19 04:53:48.429 Exception: Girl 6 doesn't get a boyfriend
2017-04-19 04:53:48.43 Exception: Girl 7 doesn't get a boyfriend
2017-04-19 04:53:48.43 : Commitement of Boy17andGirl9
2017-04-19 04:53:48.43 Exception: Girl 9 doesn't get a boyfriend
2017-04-19 04:53:48.431 Exception: Girl 10 doesn't get a boyfriend
2017-04-19 04:53:48.431 Exception: Girl 11 doesn't get a boyfriend
2017-04-19 04:53:48.431 Exception: Girl 12 doesn't get a boyfriend
2017-04-19 04:53:48.432 Exception: Girl 13 doesn't get a boyfriend
2017-04-19 04:53:48.432 : Commitement of Boy6andGirl15
2017-04-19 04:53:48.432 : Commitement of Boy3andGirl16
2017-04-19 04:53:48.432 Exception: Girl 16 doesn't get a boyfriend
2017-04-19 04:53:48.432 : Commitement of Boy5andGirl18
2017-04-19 04:53:48.433 : Commitement of Boy4andGirl19
2017-04-19 04:53:48.433 Exception: Girl 19 doesn't get a boyfriend
2017-04-19 04:53:48.433 : Commitement of Boy14andGirl21
2017-04-19 04:53:48.433 : Commitement of Boy32andGirl22
2017-04-19 04:53:48.433 Exception: Girl 22 doesn't get a boyfriend
2017-04-19 04:53:48.434 Exception: Girl 23 doesn't get a boyfriend
2017-04-19 04:53:48.434 : Commitement of Boy24andGirl25
2017-04-19 04:53:48.436 Boy19 gifts Gift24 to Girl1
2017-04-19 04:53:48.436 Boy19 gifts Gift19 to Girl1
2017-04-19 04:53:48.436 Boy19 gifts Gift27 to Girl1
2017-04-19 04:53:48.436 Boy19 gifts Gift34 to Girl1
2017-04-19 04:53:48.436 Boy19 gifts Gift14 to Girl1
2017-04-19 04:53:48.437 Boy19 gifts Gift10 to Girl1
2017-04-19 04:53:48.437 Boy19 gifts Gift26 to Girl1
2017-04-19 04:53:48.437 Boy19 gifts Gift37 to Girl1
2017-04-19 04:53:48.437 Boy19 gifts Gift18 to Girl1
2017-04-19 04:53:48.437 Boy19 gifts Gift29 to Girl1
2017-04-19 04:53:48.437 Boy19 gifts Gift1 to Girl1
2017-04-19 04:53:48.437 Boy19 gifts Gift21 to Girl1
2017-04-19 04:53:48.437 Boy19 gifts Gift49 to Girl1
2017-04-19 04:53:48.438 Boy19 gifts Gift46 to Girl1
2017-04-19 04:53:48.438 Boy19 gifts Gift13 to Girl1
2017-04-19 04:53:48.438 Boy19 gifts Gift47 to Girl1
2017-04-19 04:53:48.438 Boy19 gifts Gift11 to Girl1
2017-04-19 04:53:48.438 Boy19 gifts Gift41 to Girl1
2017-04-19 04:53:48.438 Boy19 gifts Gift16 to Girl1
2017-04-19 04:53:48.438 Boy19 gifts Gift20 to Girl1
2017-04-19 04:53:48.438 Boy19 gifts Gift42 to Girl1
2017-04-19 04:53:48.438 Boy19 gifts Gift35 to Girl1
2017-04-19 04:53:48.439 Boy19 gifts Gift36 to Girl1
2017-04-19 04:53:48.439 Boy19 gifts Gift48 to Girl1
2017-04-19 04:53:48.439 Boy19 gifts Gift23 to Girl1
