2017-04-10 06:11:02.653 : Commitement of Boy2andGirl1
2017-04-10 06:11:02.659 : Commitement of Boy11andGirl10
2017-04-10 06:11:02.659 : Commitement of Boy12andGirl11
2017-04-10 06:11:02.659 : Commitement of Boy5andGirl13
2017-04-10 06:11:02.659 : Commitement of Boy6andGirl16
2017-04-10 06:11:02.66 : Commitement of Boy9andGirl17
2017-04-10 06:11:02.66 : Commitement of Boy10andGirl18
2017-04-10 06:11:02.66 : Commitement of Boy14andGirl20
2017-04-10 06:11:02.66 : Commitement of Boy18andGirl22
2017-04-10 06:11:02.663Boy2 gifts Gift17 to Girl1
2017-04-10 06:11:02.663Boy2 gifts Gift25 to Girl1
2017-04-10 06:11:02.663Boy2 gifts Gift27 to Girl1
2017-04-10 06:11:02.663Boy2 gifts Gift29 to Girl1
2017-04-10 06:11:02.664Boy2 gifts Gift40 to Girl1
2017-04-10 06:11:02.664Boy2 gifts Gift49 to Girl1
2017-04-10 06:11:02.664Boy11 gifts Gift17 to Girl10
2017-04-10 06:11:02.664Boy11 gifts Gift25 to Girl10
2017-04-10 06:11:02.664Boy11 gifts Gift27 to Girl10
2017-04-10 06:11:02.664Boy11 gifts Gift29 to Girl10
2017-04-10 06:11:02.664Boy11 gifts Gift40 to Girl10
2017-04-10 06:11:02.664Boy11 gifts Gift49 to Girl10
2017-04-10 06:11:02.664Boy11 gifts Gift11 to Girl10
2017-04-10 06:11:02.664Boy11 gifts Gift34 to Girl10
2017-04-10 06:11:02.664Boy11 gifts Gift48 to Girl10
2017-04-10 06:11:02.665Boy11 gifts Gift3 to Girl10
2017-04-10 06:11:02.665Boy11 gifts Gift19 to Girl10
2017-04-10 06:11:02.665Boy11 gifts Gift32 to Girl10
2017-04-10 06:11:02.665Boy11 gifts Gift36 to Girl10
2017-04-10 06:11:02.665Boy12 gifts Gift1 to Girl11
2017-04-10 06:11:02.665Boy5 gifts Gift1 to Girl13
2017-04-10 06:11:02.665Boy5 gifts Gift22 to Girl13
2017-04-10 06:11:02.665Boy5 gifts Gift50 to Girl13
2017-04-10 06:11:02.665Boy5 gifts Gift35 to Girl13
2017-04-10 06:11:02.665Boy5 gifts Gift13 to Girl13
2017-04-10 06:11:02.665Boy5 gifts Gift38 to Girl13
2017-04-10 06:11:02.665Boy6 gifts Gift17 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift25 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift27 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift29 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift40 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift49 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift11 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift34 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift48 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift3 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift19 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift32 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift36 to Girl16
2017-04-10 06:11:02.666Boy6 gifts Gift5 to Girl16
2017-04-10 06:11:02.667Boy9 gifts Gift1 to Girl17
2017-04-10 06:11:02.667Boy9 gifts Gift22 to Girl17
2017-04-10 06:11:02.667Boy9 gifts Gift50 to Girl17
2017-04-10 06:11:02.667Boy9 gifts Gift35 to Girl17
2017-04-10 06:11:02.667Boy10 gifts Gift1 to Girl18
2017-04-10 06:11:02.667Boy10 gifts Gift22 to Girl18
2017-04-10 06:11:02.667Boy10 gifts Gift50 to Girl18
2017-04-10 06:11:02.667Boy10 gifts Gift35 to Girl18
2017-04-10 06:11:02.667Boy14 gifts Gift1 to Girl20
2017-04-10 06:11:02.667Boy14 gifts Gift22 to Girl20
2017-04-10 06:11:02.667Boy14 gifts Gift50 to Girl20
2017-04-10 06:11:02.667Boy14 gifts Gift35 to Girl20
2017-04-10 06:11:02.668Boy18 gifts Gift17 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift25 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift27 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift29 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift40 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift49 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift11 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift34 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift48 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift3 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift19 to Girl22
2017-04-10 06:11:02.668Boy18 gifts Gift32 to Girl22
2017-04-10 06:11:02.669Boy18 gifts Gift36 to Girl22
2017-04-10 06:11:02.669Boy18 gifts Gift5 to Girl22
2017-04-10 06:11:02.669Boy18 gifts Gift14 to Girl22
2017-04-10 06:11:02.669Boy18 gifts Gift18 to Girl22
2017-04-10 06:11:02.669Boy18 gifts Gift24 to Girl22
